,By,Bz,PC1,PC2,PC3,PC4,SML,cpcp,hour,time,hourbin,event
517,-0.4399999976158142,0.5199999809265137,-20358.654916573487,-35206.920019916586,7383.563523344641,32137.48268880767,-218.0,55.567365286216656,1.8666666666666667,2010-04-05 07:00:00,,11
518,-0.30000001192092896,0.41999998688697815,-57545.29644332503,-29676.735662069324,11485.951566203712,34435.97025207061,-198.0,59.90925245230445,1.95,2010-04-05 07:05:00,,11
519,-2.1600000858306885,0.5099999904632568,-16297.679878934205,-46486.73281602769,-14446.47677432918,39214.95683543033,-204.0,56.226541381007586,2.033333333333333,2010-04-05 07:10:00,,11
520,-0.07000000029802322,0.6499999761581421,-26108.16094945958,-87006.32726599213,-24536.50879638707,33755.90149224232,-193.0,51.30169496221835,2.1166666666666667,2010-04-05 07:15:00,,11
521,-1.340000033378601,0.7099999785423279,36028.8148009206,-111828.61023731885,-36304.29320087125,6865.53798683339,-128.0,39.48123294914764,2.2,2010-04-05 07:20:00,,11
522,-1.149999976158142,0.6399999856948853,29609.566668022035,-128543.34323918608,-50574.471421967195,4199.414980746179,-164.0,41.52138686517965,2.283333333333333,2010-04-05 07:25:00,,11
523,-1.409999966621399,-0.8999999761581421,24049.38189970421,-160111.13056944107,-69898.14182420622,-9851.861276291145,-64.0,43.60212180336089,2.3666666666666667,2010-04-05 07:30:00,,11
524,-1.2100000381469727,-0.4000000059604645,77217.5816298482,-146796.46000703017,-52596.2115415868,-9526.837611599365,-92.0,37.77603235896804,2.45,2010-04-05 07:35:00,,11
525,-1.840000033378601,-0.18000000715255737,109472.62789302671,-164856.9422841779,-33711.67850756074,-23704.439166340537,-65.0,32.75915587103277,2.533333333333333,2010-04-05 07:40:00,,11
526,-3.049999952316284,-0.3199999928474426,143159.94492325417,-161988.70260289157,-23107.93926181561,-25837.70730277404,-42.0,29.552746321549744,2.6166666666666667,2010-04-05 07:45:00,,11
527,-3.930000066757202,0.8500000238418579,116215.60877961623,-147333.68710554595,-28881.885819003637,-13482.626523986419,-37.0,29.60997759684834,2.7,2010-04-05 07:50:00,,11
